Bspec	BR	channel
B+	0.122703387	lep
B+	4.895322828	anti-D0
B+	9.471528685	anti-D*0
B+	0.042760313	pi0
B+	0.084316165	rho0
B0	4.494632929	D-
B0	8.929489145	D*-
B0	0.080580332	pi-
B0	0.15647642	rho-
B0s	4.516842244	D_s-
B0s	8.746605001	D_s*-
B0s	0.099128316	K-
B0s	0.166667955	K*-
