Bspec	BR	channel
B+	0.039195485	lep
B+	17.85200611	anti-D0
B+	40.48531032	anti-D*0
B+	0.0565363	pi0
B+	0.15167339	rho0
B0	16.47023736	D-
B0	37.89885043	D*-
B0	0.107009896	pi-
B0	0.281422332	rho-
B0s	16.87293289	D_s-
B0s	38.21582029	D_s*-
B0s	0.149625093	K-
B0s	0.302285096	K*-
