Bspec	BR	channel
B+	0.062817478	lep
B+	0	anti-D0
B+	0	anti-D*0
B+	0.000748942	pi0
B+	0	rho0
B0	0	D-
B0	0	D*-
B0	0.001369004	pi-
B0	0	rho-
B0s	0	D_s-
B0s	0	D_s*-
B0s	0.000269253	K-
B0s	0	K*-
