Bspec	BR	channel
B+	0.079684478	lep
B+	10.80768113	anti-D0
B+	23.25316934	anti-D*0
B+	0.050996869	pi0
B+	0.120348657	rho0
B0	9.953816004	D-
B0	21.82015721	D*-
B0	0.096328064	pi-
B0	0.223318924	rho-
B0s	10.11996688	D_s-
B0s	21.7944062	D_s*-
B0s	0.127436499	K-
B0s	0.238043637	K*-
