#Data tag : 19v3 , Norm tag: None
run:fill,ls,time,hltpath,delivered(/fb),recorded(/fb),avgpu,source
316187:6674,1534:1534,05/12/18 13:14:09,HLT_Mu8_IP3_part1_v1,0.000032859,0.000022040,23.7,HFOC
316187:6674,1535:1535,05/12/18 13:14:32,HLT_Mu8_IP3_part1_v1,0.000032851,0.000008308,23.7,HFOC
316187:6674,1536:1536,05/12/18 13:14:56,HLT_Mu8_IP3_part1_v1,0.000031506,0.000030755,22.7,HFOC
316187:6674,1537:1537,05/12/18 13:15:19,HLT_Mu8_IP3_part1_v1,0.000032292,0.000031510,23.3,HFOC
316187:6674,1538:1538,05/12/18 13:15:42,HLT_Mu8_IP3_part1_v1,0.000031066,0.000030331,22.4,HFOC
316187:6674,1539:1539,05/12/18 13:16:06,HLT_Mu8_IP3_part1_v1,0.000031325,0.000030147,22.6,HFOC
316187:6674,1540:1540,05/12/18 13:16:29,HLT_Mu8_IP3_part1_v1,0.000032771,0.000031964,23.6,HFOC
316187:6674,1541:1541,05/12/18 13:16:52,HLT_Mu8_IP3_part1_v1,0.000032747,0.000031942,23.6,HFOC
316187:6674,1542:1542,05/12/18 13:17:16,HLT_Mu8_IP3_part1_v1,0.000032790,0.000031983,23.6,HFOC
316187:6674,1543:1543,05/12/18 13:17:39,HLT_Mu8_IP3_part1_v1,0.000032775,0.000031966,23.6,HFOC
316187:6674,1544:1544,05/12/18 13:18:02,HLT_Mu8_IP3_part1_v1,0.000032761,0.000031953,23.6,HFOC
316187:6674,1545:1545,05/12/18 13:18:25,HLT_Mu8_IP3_part1_v1,0.000032744,0.000031937,23.6,HFOC
316187:6674,1546:1546,05/12/18 13:18:49,HLT_Mu8_IP3_part1_v1,0.000032730,0.000030484,23.6,HFOC
316187:6674,1547:1547,05/12/18 13:19:12,HLT_Mu8_IP3_part1_v1,0.000032706,0.000031900,23.5,HFOC
316187:6674,1548:1548,05/12/18 13:19:35,HLT_Mu8_IP3_part1_v1,0.000032688,0.000031886,23.5,HFOC
316187:6674,1549:1549,05/12/18 13:19:59,HLT_Mu8_IP3_part1_v1,0.000032678,0.000031419,23.5,HFOC
316187:6674,1550:1550,05/12/18 13:20:22,HLT_Mu8_IP3_part1_v1,0.000032646,0.000031841,23.5,HFOC
316187:6674,1551:1551,05/12/18 13:20:45,HLT_Mu8_IP3_part1_v1,0.000032629,0.000031831,23.5,HFOC
316187:6674,1552:1552,05/12/18 13:21:09,HLT_Mu8_IP3_part1_v1,0.000032614,0.000031767,23.5,HFOC
316187:6674,1553:1553,05/12/18 13:21:32,HLT_Mu8_IP3_part1_v1,0.000032594,0.000031792,23.5,HFOC
316187:6674,1554:1554,05/12/18 13:21:55,HLT_Mu8_IP3_part1_v1,0.000032573,0.000031769,23.5,HFOC
316187:6674,1555:1555,05/12/18 13:22:19,HLT_Mu8_IP3_part1_v1,0.000032523,0.000031725,23.4,HFOC
316187:6674,1556:1556,05/12/18 13:22:42,HLT_Mu8_IP3_part1_v1,0.000032523,0.000031726,23.4,HFOC
316187:6674,1557:1557,05/12/18 13:23:05,HLT_Mu8_IP3_part1_v1,0.000032539,0.000031737,23.4,HFOC
316187:6674,1558:1558,05/12/18 13:23:29,HLT_Mu8_IP3_part1_v1,0.000032498,0.000031703,23.4,HFOC
316187:6674,1559:1559,05/12/18 13:23:52,HLT_Mu8_IP3_part1_v1,0.000032463,0.000031666,23.4,HFOC
316187:6674,1560:1560,05/12/18 13:24:15,HLT_Mu8_IP3_part1_v1,0.000032459,0.000031666,23.4,HFOC
316187:6674,1561:1561,05/12/18 13:24:38,HLT_Mu8_IP3_part1_v1,0.000032446,0.000031604,23.4,HFOC
316187:6674,1562:1562,05/12/18 13:25:02,HLT_Mu8_IP3_part1_v1,0.000032436,0.000031644,23.4,HFOC
316187:6674,1563:1563,05/12/18 13:25:25,HLT_Mu8_IP3_part1_v1,0.000032428,0.000031636,23.3,HFOC
316187:6674,1564:1564,05/12/18 13:25:48,HLT_Mu8_IP3_part1_v1,0.000032413,0.000031624,23.3,HFOC
316187:6674,1565:1565,05/12/18 13:26:12,HLT_Mu8_IP3_part1_v1,0.000032402,0.000018582,23.3,HFOC
316187:6674,1566:1566,05/12/18 13:26:35,HLT_Mu8_IP3_part1_v1,0.000032392,0.000031597,23.3,HFOC
316187:6674,1567:1567,05/12/18 13:26:58,HLT_Mu8_IP3_part1_v1,0.000032375,0.000031584,23.3,HFOC
316187:6674,1568:1568,05/12/18 13:27:22,HLT_Mu8_IP3_part1_v1,0.000032337,0.000031548,23.3,HFOC
316187:6674,1569:1569,05/12/18 13:27:45,HLT_Mu8_IP3_part1_v1,0.000032319,0.000011772,23.3,HFOC
316187:6674,1570:1570,05/12/18 13:28:08,HLT_Mu8_IP3_part1_v1,0.000032331,0.000022876,23.3,HFOC
316187:6674,1571:1571,05/12/18 13:28:32,HLT_Mu8_IP3_part1_v1,0.000032325,0.000031538,23.3,HFOC
316187:6674,1572:1572,05/12/18 13:28:55,HLT_Mu8_IP3_part1_v1,0.000032270,0.000031484,23.2,HFOC
316187:6674,1573:1573,05/12/18 13:29:18,HLT_Mu8_IP3_part1_v1,0.000032269,0.000031485,23.2,HFOC
316187:6674,1574:1574,05/12/18 13:29:41,HLT_Mu8_IP3_part1_v1,0.000032249,0.000031463,23.2,HFOC
316187:6674,1575:1575,05/12/18 13:30:05,HLT_Mu8_IP3_part1_v1,0.000032233,0.000031451,23.2,HFOC
316187:6674,1576:1576,05/12/18 13:30:28,HLT_Mu8_IP3_part1_v1,0.000032211,0.000031435,23.2,HFOC
316187:6674,1577:1577,05/12/18 13:30:51,HLT_Mu8_IP3_part1_v1,0.000032190,0.000031408,23.2,HFOC
316187:6674,1578:1578,05/12/18 13:31:15,HLT_Mu8_IP3_part1_v1,0.000032175,0.000031386,23.2,HFOC
316187:6674,1579:1579,05/12/18 13:31:38,HLT_Mu8_IP3_part1_v1,0.000032176,0.000031394,23.2,HFOC
316187:6674,1580:1580,05/12/18 13:32:01,HLT_Mu8_IP3_part1_v1,0.000032161,0.000030937,23.2,HFOC
316187:6674,1581:1581,05/12/18 13:32:25,HLT_Mu8_IP3_part1_v1,0.000032142,0.000031363,23.1,HFOC
316187:6674,1582:1582,05/12/18 13:32:48,HLT_Mu8_IP3_part1_v1,0.000032123,0.000031344,23.1,HFOC
316187:6674,1583:1583,05/12/18 13:33:11,HLT_Mu8_IP3_part1_v1,0.000032107,0.000031326,23.1,HFOC
316187:6674,1584:1584,05/12/18 13:33:35,HLT_Mu8_IP3_part1_v1,0.000032093,0.000031318,23.1,HFOC
316187:6674,1585:1585,05/12/18 13:33:58,HLT_Mu8_IP3_part1_v1,0.000032068,0.000031283,23.1,HFOC
316187:6674,1586:1586,05/12/18 13:34:21,HLT_Mu8_IP3_part1_v1,0.000032045,0.000018726,23.1,HFOC
316187:6674,1587:1587,05/12/18 13:34:45,HLT_Mu8_IP3_part1_v1,0.000032026,0.000031254,23.1,HFOC
316187:6674,1588:1588,05/12/18 13:35:08,HLT_Mu8_IP3_part1_v1,0.000032014,0.000015484,23.1,HFOC
316187:6674,1589:1589,05/12/18 13:35:31,HLT_Mu8_IP3_part1_v1,0.000031999,0.000031229,23.0,HFOC
316187:6674,1590:1590,05/12/18 13:35:54,HLT_Mu8_IP3_part1_v1,0.000031984,0.000018569,23.0,HFOC
316187:6674,1591:1591,05/12/18 13:36:18,HLT_Mu8_IP3_part1_v1,0.000031969,0.000031195,23.0,HFOC
316187:6674,1592:1592,05/12/18 13:36:41,HLT_Mu8_IP3_part1_v1,0.000031920,0.000031150,23.0,HFOC
316187:6674,1593:1593,05/12/18 13:37:04,HLT_Mu8_IP3_part1_v1,0.000031914,0.000031101,23.0,HFOC
316187:6674,1594:1594,05/12/18 13:37:28,HLT_Mu8_IP3_part1_v1,0.000031924,0.000031155,23.0,HFOC
