#Data tag : 19v3 , Norm tag: None
run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
317527:6763,06/07/18 05:21:30,445,HLT_Mu9_IP5_part0_v2,0.023748879,0.023005799
317626:6770,06/09/18 01:58:39,1200,HLT_Mu9_IP5_part0_v2,0.051059231,0.049540246
317640:6772,06/09/18 18:15:29,112,HLT_Mu9_IP5_part0_v2,0.006340312,0.005869376
317641:6772,06/09/18 19:02:09,1390,HLT_Mu9_IP5_part0_v2,0.055287244,0.053663004
317649:6773,06/10/18 10:38:00,81,HLT_Mu9_IP5_part0_v2,0.004584473,0.004315840
317650:6773,06/10/18 11:10:27,1304,HLT_Mu9_IP5_part0_v2,0.052862296,0.051199285
317661:6774,06/11/18 02:53:02,460,HLT_Mu9_IP5_part0_v2,0.023669262,0.023027296
317663:6774,06/11/18 06:28:48,854,HLT_Mu9_IP5_part0_v2,0.031274812,0.030508440
318733:6850,06/26/18 22:29:04,31,HLT_Mu9_IP5_part0_v2,0.000560822,0.000522766
318828:6858,06/28/18 06:33:31,62,HLT_Mu9_IP5_part0_v2,0.002382982,0.002298531
318877:6860,06/28/18 21:08:01,567,HLT_Mu9_IP5_part0_v2,0.030176684,0.029357059
319337:6901,07/08/18 02:05:51,1591,HLT_Mu9_IP5_part0_v2,0.030218742,0.029503330
319349:6904,07/09/18 00:40:17,105,HLT_Mu9_IP5_part0_v2,0.005883995,0.005749941
319450:6909,07/10/18 05:22:44,91,HLT_Mu9_IP5_part0_v2,0.005182984,0.005066720
319456:6909,07/10/18 07:08:40,209,HLT_Mu9_IP5_part0_v2,0.010803779,0.010403125
319459:6909,07/10/18 08:32:35,78,HLT_Mu9_IP5_part0_v2,0.003528288,0.003442420
319503:6911,07/11/18 19:11:47,57,HLT_Mu9_IP5_part0_v2,0.003266131,0.003189400
319524:6912,07/12/18 06:18:22,212,HLT_Mu9_IP5_part0_v2,0.011792688,0.011440982
319526:6912,07/12/18 08:14:19,282,HLT_Mu9_IP5_part0_v2,0.014351937,0.013931915
319528:6912,07/12/18 10:12:58,105,HLT_Mu9_IP5_part0_v2,0.005041467,0.004899487
319579:6919,07/13/18 12:03:05,1996,HLT_Mu9_IP5_part0_v2,0.089860051,0.087272842
319639:6923,07/15/18 01:32:24,449,HLT_Mu9_IP5_part0_v2,0.019709079,0.019022594
319658:6924,07/15/18 10:51:49,133,HLT_Mu9_IP5_part0_v2,0.007461392,0.007177420
319659:6924,07/15/18 11:50:26,87,HLT_Mu9_IP5_part0_v2,0.004521670,0.004357533
319697:6929,07/16/18 02:17:40,437,HLT_Mu9_IP5_part0_v2,0.012570551,0.012112257
319698:6929,07/16/18 05:13:10,312,HLT_Mu9_IP5_part0_v2,0.007440741,0.007259053
319756:6931,07/16/18 19:54:43,1265,HLT_Mu9_IP5_part0_v2,0.055394206,0.053658736
319840:6939,07/17/18 22:27:53,348,HLT_Mu9_IP5_part0_v2,0.010252418,0.009943794
319841:6939,07/18/18 00:44:33,167,HLT_Mu9_IP5_part0_v2,0.004168054,0.004056066
319853:6940,07/18/18 08:43:52,153,HLT_Mu9_IP5_part0_v2,0.008537076,0.008302961
319854:6940,07/18/18 09:44:34,225,HLT_Mu9_IP5_part0_v2,0.011047026,0.010743265
319909:6942,07/19/18 03:03:13,7,HLT_Mu9_IP5_part0_v2,0.002745400,0.001120242
319910:6942,07/19/18 05:28:02,626,HLT_Mu9_IP5_part0_v2,0.036198102,0.034965018
319912:6942,07/19/18 09:34:41,58,HLT_Mu9_IP5_part0_v2,0.002785513,0.002639448
319913:6942,07/19/18 10:00:10,54,HLT_Mu9_IP5_part0_v2,0.002509362,0.002420347
319914:6942,07/19/18 10:23:59,29,HLT_Mu9_IP5_part0_v2,0.001313544,0.001265374
319915:6942,07/19/18 10:37:23,416,HLT_Mu9_IP5_part0_v2,0.017788011,0.017360465
319991:6953,07/20/18 20:52:41,55,HLT_Mu9_IP5_part0_v2,0.003104524,0.003015739
319992:6953,07/20/18 21:15:39,264,HLT_Mu9_IP5_part0_v2,0.013662855,0.013117300
319993:6953,07/20/18 23:01:06,955,HLT_Mu9_IP5_part0_v2,0.037549375,0.036535163
320010:6956,07/21/18 14:28:52,327,HLT_Mu9_IP5_part0_v2,0.015180338,0.014791806
320011:6956,07/21/18 16:38:02,302,HLT_Mu9_IP5_part0_v2,0.012622644,0.012227607
320012:6956,07/21/18 18:38:20,99,HLT_Mu9_IP5_part0_v2,0.003742393,0.003612138
320024:6957,07/22/18 01:46:07,38,HLT_Mu9_IP5_part0_v2,0.002194645,0.002015069
320025:6957,07/22/18 02:03:20,113,HLT_Mu9_IP5_part0_v2,0.006243158,0.006022647
320026:6957,07/22/18 02:49:54,204,HLT_Mu9_IP5_part0_v2,0.010312921,0.010017141
320040:6960,07/22/18 11:47:22,690,HLT_Mu9_IP5_part0_v2,0.033885469,0.032803283
320065:6961,07/22/18 23:23:20,730,HLT_Mu9_IP5_part0_v2,0.035354327,0.034171318
320674:7005,08/01/18 08:16:49,586,HLT_Mu9_IP5_part0_v2,0.006697911,0.006587901
320688:7006,08/01/18 16:46:28,271,HLT_Mu9_IP5_part0_v2,0.014627457,0.014188903
320804:7017,08/03/18 10:07:08,772,HLT_Mu9_IP5_part0_v2,0.036419870,0.035155239
320807:7017,08/03/18 15:28:46,7,HLT_Mu9_IP5_part0_v2,0.001319980,0.000348408
320809:7017,08/03/18 15:43:13,716,HLT_Mu9_IP5_part0_v2,0.021803389,0.021246141
320822:7018,08/04/18 02:59:37,239,HLT_Mu9_IP5_part0_v2,0.012962071,0.012529392
320823:7018,08/04/18 04:34:31,360,HLT_Mu9_IP5_part0_v2,0.016566662,0.016005062
320824:7018,08/04/18 06:55:49,1051,HLT_Mu9_IP5_part0_v2,0.033673279,0.032804011
320840:7020,08/04/18 21:35:27,123,HLT_Mu9_IP5_part0_v2,0.006925956,0.006567735
320841:7020,08/04/18 22:26:03,205,HLT_Mu9_IP5_part0_v2,0.010469527,0.010093631
320855:7024,08/05/18 10:40:27,437,HLT_Mu9_IP5_part0_v2,0.022612748,0.021913261
320856:7024,08/05/18 13:36:28,159,HLT_Mu9_IP5_part0_v2,0.006919758,0.006698169
320857:7024,08/05/18 14:39:57,272,HLT_Mu9_IP5_part0_v2,0.010948090,0.010571964
320858:7024,08/05/18 16:27:33,230,HLT_Mu9_IP5_part0_v2,0.007806500,0.007504218
320859:7024,08/05/18 18:00:16,40,HLT_Mu9_IP5_part0_v2,0.001029164,0.000985334
320917:7031,08/06/18 13:19:57,1322,HLT_Mu9_IP5_part0_v2,0.056624430,0.055016147
320920:7031,08/06/18 21:56:15,178,HLT_Mu9_IP5_part0_v2,0.004933850,0.004802686
320934:7033,08/07/18 05:43:47,658,HLT_Mu9_IP5_part0_v2,0.033142654,0.032027721
320936:7033,08/07/18 10:01:22,400,HLT_Mu9_IP5_part0_v2,0.016316007,0.015664006
320941:7033,08/07/18 12:39:42,93,HLT_Mu9_IP5_part0_v2,0.003235782,0.003127616
320995:7036,08/07/18 19:28:55,183,HLT_Mu9_IP5_part0_v2,0.005636662,0.005159242
320996:7036,08/07/18 20:42:30,380,HLT_Mu9_IP5_part0_v2,0.010116840,0.009657601
321007:7037,08/08/18 04:59:10,728,HLT_Mu9_IP5_part0_v2,0.035773714,0.034653981
321009:7037,08/08/18 09:43:25,79,HLT_Mu9_IP5_part0_v2,0.003101569,0.002946586
321010:7037,08/08/18 10:16:22,342,HLT_Mu9_IP5_part0_v2,0.011945250,0.011441326
321011:7037,08/08/18 12:32:48,211,HLT_Mu9_IP5_part0_v2,0.006305457,0.005789766
321012:7037,08/08/18 13:58:30,47,HLT_Mu9_IP5_part0_v2,0.001078069,0.000994890
321051:7039,08/09/18 07:33:33,455,HLT_Mu9_IP5_part0_v2,0.021927059,0.020777703
321055:7039,08/09/18 10:35:36,730,HLT_Mu9_IP5_part0_v2,0.025682292,0.025099100
321067:7040,08/09/18 21:32:30,108,HLT_Mu9_IP5_part0_v2,0.005691316,0.005351046
321068:7040,08/09/18 22:16:40,707,HLT_Mu9_IP5_part0_v2,0.030287385,0.029427348
321069:7040,08/10/18 02:54:15,313,HLT_Mu9_IP5_part0_v2,0.010261096,0.009911555
321124:7042,08/10/18 20:05:06,703,HLT_Mu9_IP5_part0_v2,0.032131172,0.030969647
321126:7042,08/11/18 01:08:48,480,HLT_Mu9_IP5_part0_v2,0.015812849,0.015355389
321134:7043,08/11/18 08:40:42,36,HLT_Mu9_IP5_part0_v2,0.001590299,0.001541373
321138:7043,08/11/18 09:32:55,735,HLT_Mu9_IP5_part0_v2,0.029876890,0.028395352
321140:7043,08/11/18 14:25:01,798,HLT_Mu9_IP5_part0_v2,0.023938668,0.023389874
321149:7045,08/12/18 03:00:12,994,HLT_Mu9_IP5_part0_v2,0.042244796,0.041144568
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP5_part0_v2,0.000806762,0.000389898
321167:7047,08/12/18 20:07:03,263,HLT_Mu9_IP5_part0_v2,0.013382815,0.012967909
321218:7052,08/13/18 17:14:32,140,HLT_Mu9_IP5_part0_v2,0.007340193,0.006410453
321219:7052,08/13/18 18:10:44,930,HLT_Mu9_IP5_part0_v2,0.037242269,0.036237899
321221:7052,08/14/18 00:13:21,40,HLT_Mu9_IP5_part0_v2,0.001207723,0.001181241
321233:7053,08/14/18 09:07:27,59,HLT_Mu9_IP5_part0_v2,0.003187620,0.003112704
321295:7055,08/14/18 20:49:02,311,HLT_Mu9_IP5_part0_v2,0.015552083,0.015124146
321296:7055,08/14/18 22:55:44,56,HLT_Mu9_IP5_part0_v2,0.002479583,0.002375319
321305:7056,08/15/18 07:45:48,1744,HLT_Mu9_IP5_part0_v2,0.062857413,0.061112549
321312:7056,08/15/18 20:56:27,758,HLT_Mu9_IP5_part0_v2,0.012251666,0.011999420
321313:7056,08/16/18 01:56:27,405,HLT_Mu9_IP5_part0_v2,0.005349812,0.005275546
321396:7058,08/17/18 10:09:48,903,HLT_Mu9_IP5_part0_v2,0.038957987,0.037684746
321397:7058,08/17/18 16:11:03,353,HLT_Mu9_IP5_part0_v2,0.010349618,0.010072023
321414:7061,08/18/18 02:42:04,399,HLT_Mu9_IP5_part0_v2,0.020017962,0.019223148
321415:7061,08/18/18 05:21:19,804,HLT_Mu9_IP5_part0_v2,0.029248693,0.028442739
