#Data tag : 19v3 , Norm tag: None
run:fill,ls,time,hltpath,delivered(/fb),recorded(/fb),avgpu,source
319909:6942,1:1,07/19/18 03:03:13,HLT_Mu9_IP4_part0_v2,0.000391000,0.000171601,46.9,HFOC
319909:6942,2:2,07/19/18 03:03:37,HLT_Mu9_IP4_part0_v2,0.000399778,0.000060805,48.0,HFOC
319909:6942,3:3,07/19/18 03:04:00,HLT_Mu9_IP4_part0_v2,0.000352426,0.000133160,42.3,HFOC
319909:6942,4:4,07/19/18 03:04:23,HLT_Mu9_IP4_part0_v2,0.000407305,0.000300980,48.9,HFOC
319909:6942,5:5,07/19/18 03:04:47,HLT_Mu9_IP4_part0_v2,0.000358562,0.000304043,43.0,HFOC
319909:6942,6:6,07/19/18 03:05:10,HLT_Mu9_IP4_part0_v2,0.000417455,0.000149653,50.1,HFOC
319909:6942,7:7,07/19/18 03:05:33,HLT_Mu9_IP4_part0_v2,0.000418873,0,50.3,HFOC
320807:7017,1:1,08/03/18 15:28:46,HLT_Mu9_IP4_part0_v2,0.000188981,0.000184521,22.7,HFOC
320807:7017,2:2,08/03/18 15:29:09,HLT_Mu9_IP4_part0_v2,0.000188838,0.000163873,22.7,HFOC
320807:7017,3:3,08/03/18 15:29:32,HLT_Mu9_IP4_part0_v2,0.000188766,0,22.7,HFOC
320807:7017,4:4,08/03/18 15:29:56,HLT_Mu9_IP4_part0_v2,0.000188573,0.000000006,22.6,HFOC
320807:7017,5:5,08/03/18 15:30:19,HLT_Mu9_IP4_part0_v2,0.000188418,0.000000009,22.6,HFOC
320807:7017,6:6,08/03/18 15:30:42,HLT_Mu9_IP4_part0_v2,0.000188279,0,22.6,HFOC
320807:7017,7:7,08/03/18 15:31:06,HLT_Mu9_IP4_part0_v2,0.000188125,0,22.6,HFOC
321165:7047,1:1,08/12/18 15:19:23,HLT_Mu9_IP4_part0_v2,0.000402970,0.000381715,48.4,HFOC
321165:7047,2:2,08/12/18 15:19:46,HLT_Mu9_IP4_part0_v2,0.000403793,0.000008182,48.5,HFOC
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_Mu9_IP4_part0_v2,3,3,16,0.004872142,0.001858548
#
#Sum delivered  : 0.004872142
#Sum recorded : 0.001858548
#Check JSON:
#(run,ls) in json but not in results: [(325172, 477), (325172, 478), (325172, 479), (325172, 480), (325172, 481), (325172, 482), (325172, 483), (325172, 484), (325172, 485)]
