#Data tag : 19v3 , Norm tag: None
run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
316187:6674,05/12/18 13:14:09,544,HLT_Mu8_IP3_part0_v1,0.016331666,0.015411504
316202:6675,05/13/18 06:41:53,278,HLT_Mu8_IP3_part0_v1,0.008764579,0.008466938
316218:6677,05/13/18 22:53:19,53,HLT_Mu8_IP3_part0_v1,0.001694096,0.001637552
316219:6677,05/13/18 23:33:19,283,HLT_Mu8_IP3_part0_v1,0.008397997,0.008163074
316240:6681,05/14/18 17:13:50,70,HLT_Mu8_IP3_part0_v1,0.002200673,0.002072598
316241:6681,05/14/18 17:44:39,325,HLT_Mu8_IP3_part0_v1,0.009216030,0.008865733
316569:6700,05/19/18 12:48:53,295,HLT_Mu8_IP3_part0_v2,0.008696286,0.008492640
316722:6711,05/22/18 11:12:27,374,HLT_Mu8_IP3_part0_v2,0.010777373,0.010285975
316723:6711,05/22/18 13:38:48,64,HLT_Mu8_IP3_part0_v2,0.001638429,0.001603522
316758:6712,05/23/18 03:01:07,8,HLT_Mu8_IP3_part0_v2,0.000262966,0.000256624
316766:6714,05/23/18 17:47:32,302,HLT_Mu8_IP3_part0_v2,0.008585671,0.008362519
317089:6738,05/29/18 09:15:42,311,HLT_Mu8_IP3_part0_v2,0.009967823,0.009661890
317297:6749,06/01/18 13:52:53,404,HLT_Mu8_IP3_part0_v2,0.011312061,0.010960669
317320:6751,06/02/18 05:27:04,465,HLT_Mu8_IP3_part0_v2,0.013862828,0.013367718
317392:6757,06/04/18 13:01:57,422,HLT_Mu8_IP3_part0_v2,0.012177897,0.011866770
317435:6759,06/05/18 09:09:26,23,HLT_Mu8_IP3_part0_v2,0.000732347,0.000707783
317438:6759,06/05/18 09:20:20,307,HLT_Mu8_IP3_part0_v2,0.008624478,0.008284930
317488:6761,06/06/18 04:01:11,137,HLT_Mu8_IP3_part0_v2,0.004218226,0.004046160
317626:6770,06/09/18 07:11:01,396,HLT_Mu8_IP3_part0_v3,0.013468994,0.013100400
317641:6772,06/09/18 22:57:35,714,HLT_Mu8_IP3_part0_v3,0.023913632,0.023291620
