#Data tag : 19v3 , Norm tag: None
run:fill,ls,time,hltpath,delivered(/fb),recorded(/fb),avgpu,source
317626:6770,1650:1650,06/09/18 07:11:01,HLT_Mu7_IP4_part0_v2,0.000038769,0.000037846,23.3,HFOC
317626:6770,1651:1651,06/09/18 07:11:24,HLT_Mu7_IP4_part0_v2,0.000038738,0.000037273,23.2,HFOC
317626:6770,1652:1652,06/09/18 07:11:48,HLT_Mu7_IP4_part0_v2,0.000038719,0.000037801,23.2,HFOC
317626:6770,1653:1653,06/09/18 07:12:11,HLT_Mu7_IP4_part0_v2,0.000038692,0.000037775,23.2,HFOC
317626:6770,1654:1654,06/09/18 07:12:34,HLT_Mu7_IP4_part0_v2,0.000038664,0.000037738,23.2,HFOC
317626:6770,1655:1655,06/09/18 07:12:58,HLT_Mu7_IP4_part0_v2,0.000038643,0.000037727,23.2,HFOC
317626:6770,1656:1656,06/09/18 07:13:21,HLT_Mu7_IP4_part0_v2,0.000038598,0.000037680,23.2,HFOC
317626:6770,1657:1657,06/09/18 07:13:44,HLT_Mu7_IP4_part0_v2,0.000038570,0.000037655,23.1,HFOC
317626:6770,1658:1658,06/09/18 07:14:08,HLT_Mu7_IP4_part0_v2,0.000038546,0.000037635,23.1,HFOC
317626:6770,1659:1659,06/09/18 07:14:31,HLT_Mu7_IP4_part0_v2,0.000038435,0.000037530,23.1,HFOC
317626:6770,1660:1660,06/09/18 07:14:54,HLT_Mu7_IP4_part0_v2,0.000038488,0.000037045,23.1,HFOC
317626:6770,1661:1661,06/09/18 07:15:17,HLT_Mu7_IP4_part0_v2,0.000038452,0.000037543,23.1,HFOC
317626:6770,1662:1662,06/09/18 07:15:41,HLT_Mu7_IP4_part0_v2,0.000038377,0.000037454,23.0,HFOC
317626:6770,1663:1663,06/09/18 07:16:04,HLT_Mu7_IP4_part0_v2,0.000038385,0.000037477,23.0,HFOC
317626:6770,1664:1664,06/09/18 07:16:27,HLT_Mu7_IP4_part0_v2,0.000038382,0.000037479,23.0,HFOC
317626:6770,1665:1665,06/09/18 07:16:51,HLT_Mu7_IP4_part0_v2,0.000038362,0.000037461,23.0,HFOC
317626:6770,1666:1666,06/09/18 07:17:14,HLT_Mu7_IP4_part0_v2,0.000038334,0.000037433,23.0,HFOC
317626:6770,1667:1667,06/09/18 07:17:37,HLT_Mu7_IP4_part0_v2,0.000038307,0.000037407,23.0,HFOC
317626:6770,1668:1668,06/09/18 07:18:01,HLT_Mu7_IP4_part0_v2,0.000038285,0.000037388,23.0,HFOC
317626:6770,1669:1669,06/09/18 07:18:24,HLT_Mu7_IP4_part0_v2,0.000038257,0.000037357,23.0,HFOC
317626:6770,1670:1670,06/09/18 07:18:47,HLT_Mu7_IP4_part0_v2,0.000038220,0.000036790,22.9,HFOC
317626:6770,1671:1671,06/09/18 07:19:11,HLT_Mu7_IP4_part0_v2,0.000038201,0.000037303,22.9,HFOC
317626:6770,1672:1672,06/09/18 07:19:34,HLT_Mu7_IP4_part0_v2,0.000038168,0.000037271,22.9,HFOC
317626:6770,1673:1673,06/09/18 07:19:57,HLT_Mu7_IP4_part0_v2,0.000038142,0.000037252,22.9,HFOC
317626:6770,1674:1674,06/09/18 07:20:20,HLT_Mu7_IP4_part0_v2,0.000038119,0.000037222,22.9,HFOC
317626:6770,1675:1675,06/09/18 07:20:44,HLT_Mu7_IP4_part0_v2,0.000038100,0.000037209,22.9,HFOC
317626:6770,1676:1676,06/09/18 07:21:07,HLT_Mu7_IP4_part0_v2,0.000038068,0.000037178,22.8,HFOC
317626:6770,1677:1677,06/09/18 07:21:30,HLT_Mu7_IP4_part0_v2,0.000038042,0.000037153,22.8,HFOC
317626:6770,1678:1678,06/09/18 07:21:54,HLT_Mu7_IP4_part0_v2,0.000038012,0.000037114,22.8,HFOC
317626:6770,1679:1679,06/09/18 07:22:17,HLT_Mu7_IP4_part0_v2,0.000037984,0.000037096,22.8,HFOC
317626:6770,1680:1680,06/09/18 07:22:40,HLT_Mu7_IP4_part0_v2,0.000037947,0.000036528,22.8,HFOC
317626:6770,1681:1681,06/09/18 07:23:04,HLT_Mu7_IP4_part0_v2,0.000037924,0.000037038,22.8,HFOC
317626:6770,1682:1682,06/09/18 07:23:27,HLT_Mu7_IP4_part0_v2,0.000037895,0.000037010,22.7,HFOC
317626:6770,1683:1683,06/09/18 07:23:50,HLT_Mu7_IP4_part0_v2,0.000037853,0.000036971,22.7,HFOC
317626:6770,1684:1684,06/09/18 07:24:14,HLT_Mu7_IP4_part0_v2,0.000037793,0.000036916,22.7,HFOC
317626:6770,1685:1685,06/09/18 07:24:37,HLT_Mu7_IP4_part0_v2,0.000037762,0.000036885,22.7,HFOC
317626:6770,1686:1686,06/09/18 07:25:00,HLT_Mu7_IP4_part0_v2,0.000037762,0.000036882,22.7,HFOC
317626:6770,1687:1687,06/09/18 07:25:23,HLT_Mu7_IP4_part0_v2,0.000037752,0.000036874,22.7,HFOC
317626:6770,1688:1688,06/09/18 07:25:47,HLT_Mu7_IP4_part0_v2,0.000037727,0.000036851,22.6,HFOC
317626:6770,1689:1689,06/09/18 07:26:10,HLT_Mu7_IP4_part0_v2,0.000037684,0.000036810,22.6,HFOC
