#Data tag : 19v3 , Norm tag: None
run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
319909:6942,07/19/18 03:03:13,7,HLT_Mu9_IP4_part0_v2,0.002745400,0.001120242
320807:7017,08/03/18 15:28:46,7,HLT_Mu9_IP4_part0_v2,0.001319980,0.000348408
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP4_part0_v2,0.000806762,0.000389898
319909:6942,07/19/18 03:03:13,7,HLT_Mu9_IP4_part1_v2,0.002745400,0.001120242
320807:7017,08/03/18 15:28:46,7,HLT_Mu9_IP4_part1_v2,0.001319980,0.000348408
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP4_part1_v2,0.000806762,0.000389898
319909:6942,07/19/18 03:03:13,7,HLT_Mu9_IP4_part2_v2,0.002745400,0.001120242
320807:7017,08/03/18 15:28:46,7,HLT_Mu9_IP4_part2_v2,0.001319980,0.000348408
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP4_part2_v2,0.000806762,0.000389898
319909:6942,07/19/18 03:03:13,7,HLT_Mu9_IP4_part3_v2,0.002745400,0.001120242
320807:7017,08/03/18 15:28:46,7,HLT_Mu9_IP4_part3_v2,0.001319980,0.000348408
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP4_part3_v2,0.000806762,0.000389898
319909:6942,07/19/18 03:03:13,7,HLT_Mu9_IP4_part4_v2,0.002745400,0.001120242
320807:7017,08/03/18 15:28:46,7,HLT_Mu9_IP4_part4_v2,0.001319980,0.000348408
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP4_part4_v2,0.000806762,0.000389898
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_Mu9_IP4_part0_v2,3,3,16,0.004872142,0.001858548
#HLT_Mu9_IP4_part1_v2,3,3,16,0.004872142,0.001858548
#HLT_Mu9_IP4_part2_v2,3,3,16,0.004872142,0.001858548
#HLT_Mu9_IP4_part3_v2,3,3,16,0.004872142,0.001858548
#HLT_Mu9_IP4_part4_v2,3,3,16,0.004872142,0.001858548
#
#Sum delivered  : 0.024360710
#Sum recorded : 0.009292740
#Check JSON:
#(run,ls) in json but not in results: [(325172, 477), (325172, 478), (325172, 479), (325172, 480), (325172, 481), (325172, 482), (325172, 483), (325172, 484), (325172, 485)]
