#Data tag : 19v3 , Norm tag: None
run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
317626:6770,06/09/18 07:11:01,396,HLT_Mu7_IP4_part0_v2,0.013468994,0.013100400
317641:6772,06/09/18 22:57:35,714,HLT_Mu7_IP4_part0_v2,0.023913632,0.023291620
317650:6773,06/10/18 16:01:51,554,HLT_Mu7_IP4_part0_v2,0.018684453,0.018081705
317663:6774,06/11/18 07:48:27,551,HLT_Mu7_IP4_part0_v2,0.018909929,0.018433282
319337:6901,07/08/18 02:05:51,44,HLT_Mu7_IP4_part0_v2,0.001447125,0.001369352
319526:6912,07/12/18 09:28:55,2,HLT_Mu7_IP4_part0_v2,0.000100521,0.000092616
319579:6919,07/13/18 17:16:14,18,HLT_Mu7_IP4_part0_v2,0.000793602,0.000770574
319756:6931,07/17/18 02:11:35,295,HLT_Mu7_IP4_part0_v2,0.010026633,0.009716074
319909:6942,07/19/18 03:03:13,7,HLT_Mu7_IP4_part0_v2,0.002745400,0.001120242
319912:6942,07/19/18 09:34:41,58,HLT_Mu7_IP4_part0_v2,0.002785513,0.002639448
319993:6953,07/21/18 02:43:43,382,HLT_Mu7_IP4_part0_v2,0.012909495,0.012536902
320012:6956,07/21/18 18:43:00,87,HLT_Mu7_IP4_part0_v2,0.003273924,0.003162306
320674:7005,08/01/18 08:16:49,586,HLT_Mu7_IP4_part0_v2,0.006697911,0.006587901
320804:7017,08/03/18 15:11:21,36,HLT_Mu7_IP4_part0_v2,0.001384557,0.001181160
320807:7017,08/03/18 15:28:46,7,HLT_Mu7_IP4_part0_v2,0.001319980,0.000348408
320809:7017,08/03/18 15:43:13,716,HLT_Mu7_IP4_part0_v2,0.021803389,0.021246141
320824:7018,08/04/18 07:54:06,901,HLT_Mu7_IP4_part0_v2,0.027504196,0.026812806
320857:7024,08/05/18 16:03:53,56,HLT_Mu7_IP4_part0_v2,0.002122189,0.002037993
320858:7024,08/05/18 16:27:33,230,HLT_Mu7_IP4_part0_v2,0.007806500,0.007504218
320859:7024,08/05/18 18:00:16,40,HLT_Mu7_IP4_part0_v2,0.001029164,0.000985334
320917:7031,08/06/18 18:55:38,458,HLT_Mu7_IP4_part0_v2,0.015877614,0.015405961
320920:7031,08/06/18 21:56:15,178,HLT_Mu7_IP4_part0_v2,0.004933850,0.004802686
320941:7033,08/07/18 12:40:52,90,HLT_Mu7_IP4_part0_v2,0.003120202,0.003045151
321009:7037,08/08/18 10:00:08,36,HLT_Mu7_IP4_part0_v2,0.001391593,0.001273786
321010:7037,08/08/18 10:16:22,342,HLT_Mu7_IP4_part0_v2,0.011945250,0.011441326
321011:7037,08/08/18 12:32:48,211,HLT_Mu7_IP4_part0_v2,0.006305457,0.005789766
321012:7037,08/08/18 13:58:30,47,HLT_Mu7_IP4_part0_v2,0.001078069,0.000994890
321055:7039,08/09/18 12:58:11,392,HLT_Mu7_IP4_part0_v2,0.012172205,0.011896775
321068:7040,08/10/18 02:27:39,61,HLT_Mu7_IP4_part0_v2,0.002177676,0.002030564
321069:7040,08/10/18 02:54:15,313,HLT_Mu7_IP4_part0_v2,0.010261096,0.009911555
321126:7042,08/11/18 01:46:06,384,HLT_Mu7_IP4_part0_v2,0.012198551,0.011817731
321138:7043,08/11/18 13:43:54,89,HLT_Mu7_IP4_part0_v2,0.003170325,0.003051381
321140:7043,08/11/18 14:25:01,798,HLT_Mu7_IP4_part0_v2,0.023938668,0.023389874
321149:7045,08/12/18 08:05:35,210,HLT_Mu7_IP4_part0_v2,0.007212170,0.007034038
321165:7047,08/12/18 15:19:23,2,HLT_Mu7_IP4_part0_v2,0.000806762,0.000389898
321219:7052,08/13/18 22:05:01,327,HLT_Mu7_IP4_part0_v2,0.011125677,0.010761302
321221:7052,08/14/18 00:13:21,40,HLT_Mu7_IP4_part0_v2,0.001207723,0.001181241
321305:7056,08/15/18 12:59:20,937,HLT_Mu7_IP4_part0_v2,0.026543283,0.025740807
321312:7056,08/15/18 20:56:27,758,HLT_Mu7_IP4_part0_v2,0.012251666,0.011999420
321313:7056,08/16/18 01:56:27,405,HLT_Mu7_IP4_part0_v2,0.005349812,0.005275546
321396:7058,08/17/18 14:53:01,174,HLT_Mu7_IP4_part0_v2,0.005994288,0.005788829
321397:7058,08/17/18 16:11:03,353,HLT_Mu7_IP4_part0_v2,0.010349618,0.010072023
321415:7061,08/18/18 07:50:07,421,HLT_Mu7_IP4_part0_v2,0.013595165,0.013220916
